X,Y,POINT_X,POINT_Y,dtm10mUTM3
626016.77307573485,5117314.1355925202,626016.77307600004,5117314.13559000010,1990.00000
625312.12194920646,5115617.044951533,625312.12194900005,5115617.04495000000,1715.00000
625516.88484974403,5117739.579062568,625516.88485000003,5117739.57906000040,1882.00000
623962.78912661807,5116990.3252643067,623962.78912700003,5116990.32526000030,1706.00000
625710.27520090435,5117399.8027597181,625710.27520100004,5117399.80276000030,1785.00000
623884.29899690708,5117939.9618296009,623884.29899699998,5117939.96183000040,1835.00000
626185.78451585909,5118642.5284624752,626185.78451599996,5118642.52845999970,2585.00000
624132.14237311063,5118945.3011903176,624132.14237300004,5118945.30119000000,2410.00000
625460.21666780161,5116153.0779411048,625460.21666799998,5116153.07794000020,1511.00000
624517.4476816908,5117249.1879044659,624517.44768200000,5117249.18790000030,1548.00000
625097.10409245687,5119021.7192020398,625097.10409200005,5119021.71920000020,2352.00000
624606.3475255454,5115304.9282728238,624606.34752600000,5115304.92827000000,2245.00000
624430.08149887202,5118565.2084604744,624430.08149899996,5118565.20846000030,2248.00000
625079.30282289605,5117946.0096269287,625079.30282300001,5117946.00963000020,1833.00000
623523.81558517134,5117930.502754719,623523.81558499997,5117930.50275000000,1974.00000
626724.60866888741,5117836.2172123827,626724.60866899998,5117836.21721000040,2295.00000
624797.23358388187,5116181.8649352966,624797.23358400003,5116181.86493999980,2089.00000
625898.48972396855,5118088.4109517727,625898.48972399998,5118088.41095000040,2391.00000
623622.74739324709,5118112.3195388671,623622.74739300006,5118112.31953999960,2112.00000
625982.52030796139,5116482.1767905233,625982.52030800004,5116482.17678999990,1557.00000
623457.68563670712,5117031.8506407756,623457.68563700002,5117031.85063999980,1609.00000
626655.52584822592,5116463.7624114379,626655.52584799996,5116463.76241000000,2109.00000
627006.83483965567,5117525.8027565172,627006.83484000002,5117525.80276000030,2330.00000
623852.10913871857,5117559.9494820777,623852.10913899995,5117559.94948000000,1578.00000
626058.01280368597,5115635.6267391797,626058.01280400006,5115635.62674000020,1415.00000
624015.8620477349,5116465.2071449105,624015.86204799998,5116465.20713999960,2293.00000
626719.70382367889,5115857.6865887232,626719.70382399997,5115857.68659000010,1940.00000
624707.93599555094,5115506.1133676386,624707.93599599996,5115506.11337000040,2237.00000
624459.79894201539,5117568.4240390398,624459.79894200002,5117568.42404000000,1707.00000
624994.51911385776,5116522.8877187325,624994.51911400002,5116522.88772000000,1645.00000
625361.78267385263,5118631.5202674847,625361.78267400002,5118631.52027000020,2179.00000
625227.69744230574,5116913.6501434669,625227.69744200003,5116913.65013999960,1459.00000
625640.36975234863,5115184.0141140446,625640.36975199997,5115184.01410999990,1619.00000
625726.1301770322,5118953.3714727499,625726.13017699996,5118953.37146999970,2405.00000
625901.71158322657,5118821.4809956402,625901.71158300003,5118821.48099999970,2420.00000
626239.54577923776,5116470.1600017836,626239.54577900004,5116470.16000000010,1748.00000
625418.24813933834,5115218.9055467322,625418.24813900003,5115218.90555000030,1756.00000
623283.03757503489,5118425.0772411209,623283.03757499997,5118425.07723999950,2316.00000
626238.39190742571,5118334.6172779873,626238.39190699998,5118334.61727999990,2660.00000
